iter time likelihood converge
0001 000047 -41513040.18273 1.0000000000
0002 000090 -40820410.98381 0.0166846176
0003 000134 -40631461.71386 0.0046287939
0004 000176 -40589219.98426 0.0010396311
0005 000220 -40545527.89208 0.0010764457
0006 000263 -40485240.36399 0.0014869094
0007 000306 -40416741.08198 0.0016919569
0008 000349 -40335545.35316 0.0020089628
0009 000392 -40262888.04403 0.0018013221
0010 000434 -40191170.83036 0.0017812238
0011 000477 -40117269.61277 0.0018387426
0012 000519 -40037145.84912 0.0019972387
0013 000563 -39960566.72605 0.0019127019
0014 000610 -39886442.07790 0.0018549449
0015 000658 -39812583.46388 0.0018517223
0016 000704 -39740730.95404 0.0018047688
0017 000749 -39667381.88310 0.0018456900
0018 000792 -39597733.73073 0.0017558041
0019 000837 -39528590.46360 0.0017461420
0020 000886 -39461364.33520 0.0017006963
0021 000937 -39396442.69939 0.0016451949
0022 000987 -39334564.06754 0.0015706655
0023 001035 -39275082.39653 0.0015121986
0024 001081 -39216771.96202 0.0014846674
0025 001128 -39160983.55243 0.0014225651
0026 001174 -39108602.84375 0.0013375739
0027 001222 -39058185.45846 0.0012891636
0028 001267 -39010405.20874 0.0012233095
0029 001313 -38964614.10506 0.0011738177
0030 001362 -38921550.29757 0.0011052030
0031 001407 -38880089.93300 0.0010652290
0032 001452 -38841146.72505 0.0010016234
0033 001497 -38802631.53482 0.0009916080
0034 001542 -38766497.81260 0.0009312183
0035 001590 -38731830.93825 0.0008942483
0036 001634 -38697270.41106 0.0008923030
0037 001677 -38663192.82279 0.0008806199
0038 001720 -38631144.04613 0.0008289221
0039 001765 -38600017.07171 0.0008057482
0040 001811 -38569221.85970 0.0007978031
0041 001857 -38538685.48151 0.0007917292
0042 001905 -38508605.45979 0.0007805150
0043 001952 -38478950.06785 0.0007700978
0044 002000 -38449616.61039 0.0007623248
0045 002047 -38420745.19904 0.0007508894
0046 002092 -38392357.43596 0.0007388655
0047 002134 -38364340.44633 0.0007297543
0048 002175 -38336357.80980 0.0007293918
0049 002217 -38308728.29089 0.0007207132
0050 002259 -38280989.46740 0.0007240863
0051 002301 -38254240.41407 0.0006987555
0052 002343 -38234190.42035 0.0005241247
0053 002390 -38211256.49346 0.0005998277
0054 002437 -38186558.20300 0.0006463616
0055 002483 -38161101.68038 0.0006666357
0056 002530 -38135469.68396 0.0006716786
0057 002576 -38109185.26089 0.0006892382
0058 002624 -38083103.47203 0.0006843964
0059 002671 -38056711.23200 0.0006930171
0060 002719 -38030604.20000 0.0006860034
0061 002763 -38004014.15407 0.0006991750
0062 002810 -37977607.10964 0.0006948488
0063 002855 -37950640.32826 0.0007100706
0064 002901 -37922993.08121 0.0007285054
0065 002946 -37893824.67635 0.0007691483
0066 002990 -37864802.20638 0.0007658892
0067 003038 -37835252.51169 0.0007804001
0068 003084 -37805861.91732 0.0007768045
0069 003130 -37775555.81206 0.0008016245
0070 003175 -37746349.09184 0.0007731645
0071 003220 -37718357.68152 0.0007415660
0072 003265 -37691050.45097 0.0007239772
0073 003310 -37664320.16494 0.0007091945
0074 003358 -37637421.13472 0.0007141780
0075 003404 -37611145.92627 0.0006981139
0076 003449 -37585084.01055 0.0006929306
0077 003498 -37558814.87041 0.0006989246
0078 003542 -37532222.09192 0.0007080303
0079 003587 -37506100.07086 0.0006959892
0080 003631 -37479884.84997 0.0006989589
0081 003674 -37453686.83871 0.0006989886
0082 003719 -37427531.51124 0.0006983379
0083 003763 -37401483.21031 0.0006959663
0084 003807 -37375788.92990 0.0006869856
0085 003852 -37350173.60199 0.0006853455
0086 003896 -37324642.64081 0.0006835567
0087 003939 -37299097.94286 0.0006843923
0088 003984 -37273307.00399 0.0006914628
0089 004028 -37247703.07793 0.0006869239
0090 004072 -37222219.76312 0.0006841580
0091 004119 -37196662.93886 0.0006866013
0092 004162 -37171465.87134 0.0006774013
0093 004205 -37146469.49598 0.0006724614
0094 004249 -37121631.46559 0.0006686512
0095 004292 -37096809.15350 0.0006686751
0096 004334 -37072107.41562 0.0006658723
0097 004378 -37047487.90239 0.0006640980
0098 004422 -37022835.18440 0.0006654356
0099 004465 -36998259.01022 0.0006638112
0100 004508 -36973774.40986 0.0006617771
0101 004550 -36949066.94720 0.0006682429
0102 004591 -36924611.76369 0.0006618620
0103 004631 -36900020.20702 0.0006659936
0104 004672 -36875798.93270 0.0006564027
0105 004711 -36852005.11520 0.0006452421
0106 004751 -36828340.85998 0.0006421429
0107 004793 -36805291.21591 0.0006258670
0108 004836 -36782553.24841 0.0006177907
0109 004879 -36760147.40673 0.0006091432
0110 004921 -36738290.20916 0.0005945895
0111 004966 -36716642.20805 0.0005892490
0112 005009 -36695361.14871 0.0005796025
0113 005053 -36674157.83395 0.0005778200
0114 005098 -36653319.72688 0.0005681959
0115 005143 -36632695.67887 0.0005626789
0116 005189 -36612305.09886 0.0005566224
0117 005232 -36592122.76679 0.0005512445
0118 005272 -36572107.84844 0.0005469734
0119 005312 -36552382.59645 0.0005393523
0120 005352 -36532783.41962 0.0005361942
0121 005393 -36513479.43258 0.0005284018
0122 005433 -36494256.55839 0.0005264597
0123 005473 -36475311.30436 0.0005191297
0124 005513 -36456591.81301 0.0005132099
0125 005555 -36437968.97137 0.0005108223
0126 005595 -36419461.38044 0.0005079205
0127 005635 -36401110.85792 0.0005038658
0128 005675 -36382922.85503 0.0004996552
0129 005715 -36365002.29656 0.0004925541
0130 005755 -36347002.61518 0.0004949726
0131 005795 -36329339.11243 0.0004859686
0132 005835 -36311902.66862 0.0004799549
0133 005875 -36294552.08382 0.0004778209
0134 005915 -36277317.75521 0.0004748462
0135 005955 -36260187.33473 0.0004722075
0136 005995 -36243119.52057 0.0004707040
0137 006035 -36226137.42694 0.0004685605
0138 006075 -36209429.66071 0.0004612075
0139 006115 -36192868.82767 0.0004573624
0140 006155 -36176369.73347 0.0004558659
0141 006195 -36160081.89804 0.0004502341
0142 006235 -36143852.90887 0.0004488095
0143 006275 -36127816.38733 0.0004436860
0144 006316 -36111805.01072 0.0004431869
0145 006356 -36095839.21070 0.0004421214
0146 006396 -36079979.74822 0.0004393709
0147 006436 -36064306.62249 0.0004343995
0148 006476 -36048780.64566 0.0004305081
0149 006516 -36033353.56040 0.0004279503
0150 006556 -36018106.61590 0.0004231342
0151 006596 -36002866.22539 0.0004231314
0152 006636 -35987639.43832 0.0004229326
0153 006676 -35972601.81103 0.0004178553
0154 006716 -35957713.01074 0.0004138928
0155 006756 -35942720.56748 0.0004169465
0156 006796 -35928067.79130 0.0004076702
0157 006836 -35913285.96705 0.0004114283
0158 006876 -35898693.63574 0.0004063213
0159 006916 -35884280.62883 0.0004014911
0160 006956 -35869804.79814 0.0004034031
0161 006996 -35855482.81226 0.0003992769
0162 007036 -35841215.82643 0.0003979025
0163 007076 -35827133.29708 0.0003929144
0164 007115 -35812936.35068 0.0003962624
0165 007155 -35798894.90884 0.0003920774
0166 007195 -35784912.78389 0.0003905742
0167 007235 -35770933.74078 0.0003906407
0168 007274 -35757183.64476 0.0003843930
0169 007314 -35743558.23715 0.0003810537
0170 007353 -35729907.27394 0.0003819139
0171 007393 -35716121.88827 0.0003858220
0172 007433 -35702655.66417 0.0003770349
0173 007472 -35689063.66162 0.0003807000
0174 007512 -35675618.61789 0.0003767273
0175 007551 -35662217.48434 0.0003756384
0176 007591 -35648962.82180 0.0003716724
0177 007630 -35635638.46317 0.0003737657
0178 007669 -35622447.21024 0.0003701702
0179 007709 -35609462.61448 0.0003645060
0180 007748 -35596414.75560 0.0003664155
0181 007788 -35583465.59947 0.0003637770
0182 007827 -35570565.64818 0.0003625266
0183 007867 -35557638.20551 0.0003634309
0184 007906 -35544763.01828 0.0003620934
0185 007945 -35532030.20438 0.0003582191
0186 007985 -35519320.91242 0.0003576855
0187 008024 -35506728.44938 0.0003545243
0188 008063 -35494066.30546 0.0003566125
0189 008102 -35481553.56324 0.0003525305
0190 008142 -35469178.34905 0.0003487788
0191 008181 -35456732.79760 0.0003508836
0192 008220 -35444245.85439 0.0003521741
0193 008259 -35431978.05577 0.0003461154
0194 008298 -35419698.74357 0.0003465602
0195 008338 -35407276.44035 0.0003507174
0196 008377 -35394870.44979 0.0003503797
0197 008416 -35382593.94230 0.0003468443
0198 008455 -35370395.84090 0.0003447486
0199 008494 -35358251.68619 0.0003433423
0200 008533 -35346251.06733 0.0003394008
